time,particle_id,x,y,z,vx,vy,vz,EK
0.137,1,1.00944,0.137572,0,0.137572,0.990561,0,0.500069
0.138,1,1.00958,0.138562,0,0.138562,0.990424,0,0.50007
0.139,1,1.00971,0.139553,0,0.139553,0.990285,0,0.50007
0.14,1,1.00985,0.140543,0,0.140543,0.990146,0,0.500071
0.141,1,1.00999,0.141533,0,0.141533,0.990005,0,0.500071
0.142,1,1.01014,0.142523,0,0.142523,0.989864,0,0.500072
0.143,1,1.01028,0.143513,0,0.143513,0.989721,0,0.500072
0.144,1,1.01042,0.144503,0,0.144503,0.989578,0,0.500073
0.145,1,1.01057,0.145492,0,0.145492,0.989433,0,0.500073
0.146,1,1.01071,0.146482,0,0.146482,0.989288,0,0.500074
0.147,1,1.01086,0.147471,0,0.147471,0.989141,0,0.500074
0.148,1,1.01101,0.14846,0,0.14846,0.988994,0,0.500075
0.149,1,1.01115,0.149449,0,0.149449,0.988845,0,0.500075
0.15,1,1.0113,0.150438,0,0.150438,0.988696,0,0.500076
0.151,1,1.01145,0.151427,0,0.151427,0.988545,0,0.500076
0.152,1,1.01161,0.152415,0,0.152415,0.988394,0,0.500077
0.153,1,1.01176,0.153404,0,0.153404,0.988242,0,0.500077
0.154,1,1.01191,0.154392,0,0.154392,0.988088,0,0.500078
0.155,1,1.01207,0.15538,0,0.15538,0.987934,0,0.500078
0.156,1,1.01222,0.156368,0,0.156368,0.987778,0,0.500079
0.157,1,1.01238,0.157356,0,0.157356,0.987622,0,0.500079
0.158,1,1.01254,0.158343,0,0.158343,0.987465,0,0.50008
0.159,1,1.01269,0.159331,0,0.159331,0.987306,0,0.50008
0.16,1,1.01285,0.160318,0,0.160318,0.987147,0,0.500081
0.161,1,1.01301,0.161305,0,0.161305,0.986987,0,0.500081
0.162,1,1.01317,0.162292,0,0.162292,0.986825,0,0.500082
0.163,1,1.01334,0.163279,0,0.163279,0.986663,0,0.500082
0.164,1,1.0135,0.164266,0,0.164266,0.9865,0,0.500083
0.165,1,1.01366,0.165252,0,0.165252,0.986335,0,0.500083
0.166,1,1.01383,0.166239,0,0.166239,0.98617,0,0.500084
0.167,1,1.014,0.167225,0,0.167225,0.986004,0,0.500084
0.168,1,1.01416,0.168211,0,0.168211,0.985837,0,0.500085
0.169,1,1.01433,0.169197,0,0.169197,0.985669,0,0.500085
0.17,1,1.0145,0.170182,0,0.170182,0.985499,0,0.500086
0.171,1,1.01467,0.171168,0,0.171168,0.985329,0,0.500086
0.172,1,1.01484,0.172153,0,0.172153,0.985158,0,0.500087
0.173,1,1.01501,0.173138,0,0.173138,0.984986,0,0.500087
0.174,1,1.01519,0.174123,0,0.174123,0.984813,0,0.500088
0.175,1,1.01536,0.175108,0,0.175108,0.984639,0,0.500088
